folder	A2	B2	Z	o	h2	cf	cm	dsm	df	dm	alpha	recomb	recomb	a	b	v	gen	printgen	range1	range2	inc1	inc2	run	perturb	pertamt	pertgen	Zoff	dA2	sfert
1311110	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	50000	5000	0.1	4	10	10	111110						
1311111	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	50000	5000	0.1	4	10	10	111111						
2000000	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	2000000						
2000001	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	2000001						
2000010	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	2000010						
2000011	1	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	2000011						
2000100	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	2000100						
2000101	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	2000101						
2000110	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	2000110						
2000111	1	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	2000111						
2001000	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	2001000						
2001001	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	2001001						
2001010	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	2001010						
2001011	1	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	2001011						
2001100	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	2001100						
2001101	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	2001101						
2001110	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	2001110						
2001111	1	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	2001111						
2010000	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	2010000						
2010001	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	2010001						
2010010	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	2010010						
2010011	1	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	2010011						
2010100	1	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7.00E-05	0.3	100000	5000	0.1	4	10	10	2010100						
2010101	1	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	2010101						
2010110	1	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7.00E-05	0.3	100000	5000	0.1	4	10	10	2010110						
